,31	7
,32	9
,33	1
,35	1
,37	10
,39	1
,40	20
,41	1
,42	3
,43	1
,44	33
,45	184
,46	2
,47	5
,48	7
,49	1
,50	5
,51	6
,52	2
,54	4
,56	3
,57	9
,58	14
,59	10
,60	8
,61	7
,62	4
,63	6
,64	1
,65	5
,66	8
,67	3
,69	1
,70	3
,71	6
,72	3
,73	7
,74	5
,75	4
,77	1
,78	4
,79	5
,81	7
,82	9
,83	11
,84	4
,86	4
,87	4
,88	2
,89	3
,90	6
,94	6
,95	5
,97	4
,99	6
1,00	9
